url,title,property type,property_size(Sq Ft),price(BDT),service_charge(BDT),bedrooms,bathrooms,parking,lift,floor,interior_style,year built,building registration type,preferred tennant,garage(Sq Ft),front_road(Sq Ft),common_area(Sq Ft),city_area,district,zip_code,country
https://rents.com.bd/property/a-modern-well-planned-flat-of-2000-sq-ft-is-up-for-rent-is-situated-in-banani-2/,A Modern Well-planned Flat Of 2000 Sq Ft Is Up For Rent Is Situated In Banani,Residential Apartment,2000.0,80000,8500,03,03,01,1.0,3rd Floor Available,Un-Furnished,2010.0, Residential, Foreigner,120,16,180,Banani,Dhaka,1213,Bangladesh
https://rents.com.bd/property/a-modern-well-planned-flat-of-4500-sq-ft-is-up-for-rent-is-situated-in-gulshan/,A Modern Well-planned Flat Of 4500 Sq Ft Is Up For Rent Is Situated In Gulshan,Residential Apartment,4500.0,220000,17000,04,04,02,1.0,6th-7th floor (Duplex),Semi-Furnished,2012.0, Residential, Foreigner,240,12,250,Gulshan,Dhaka,1212,Bangladesh
https://rents.com.bd/property/brand-new-and-tastefully-designed-this-20000-sq-ft-commercial-space-now-vacant-for-rent-in-gulshan-avenue/,Brand New And Tastefully Designed This 20000 SQ FT Commercial Space Now Vacant For Rent In Gulshan Avenue,Commercial Space,20000.0,2900000,300000,,,05,3.0,11th-15th floor available,Un-Furnished,2023.0, Commercial,Corporate Office or MNC Office,600,50,1250,Gulshan,Dhaka,1212,Bangladesh
https://rents.com.bd/property/a-modern-well-planned-flat-of-2250-sq-ft-is-up-for-rent-is-situated-in-gulshan/,A Modern Well-planned Flat Of 2250 Sq Ft Is Up For Rent Is Situated In Gulshan,Residential Apartment,2250.0,100000,15000,03,03,01,2.0,7th Floor Available,Un-Furnished,2017.0, Residential, Foreigner,120,24,180,Gulshan,Dhaka,1212,Bangladesh
https://rents.com.bd/property/a-modern-well-planned-flat-of-4300-sq-ft-is-up-for-rent-is-situated-in-gulshan/,A Modern Well-planned Flat Of 4300 Sq Ft Is Up For Rent Is Situated In Gulshan,Residential Apartment,4300.0,220000,25000,04,04,02,2.0,5th floor,Un-Furnished,2010.0, Residential, Foreigner,240,16,250,Gulshan,Dhaka,1212,Bangladesh
https://rents.com.bd/property/15000-sq-ft-full-building-is-available-for-rent-in-baridhara-diplomatic-zone/,15000 Sq Ft Full Building Is Available For Rent In Baridhara Diplomatic Zone,Residential Apartment,15000.0,1100000,,09,09,03,,G+4th floor,Un-Furnished,1997.0, Residential, Foreigner,360,24,1400,Baridhara Diplomatic Zone,Dhaka,1212,Bangladesh
https://rents.com.bd/property/tastefully-designed-this-3200-sq-ft-commercial-space-now-vacant-for-rent-in-banani/,Tastefully Designed This 3200 SQ FT Commercial Space Now Vacant For Rent In Banani,Commercial Space,3200.0,448000,32000,,,01,2.0,11th floor,Un-Furnished,2010.0, Commercial,Corporate Office or MNC Office,120,50,250,Banani,Dhaka,1213,Bangladesh
https://rents.com.bd/property/a-modern-well-planned-flat-of-2000-sq-ft-is-up-for-rent-is-situated-in-banani/,A Modern Well-planned Flat Of 2000 Sq Ft Is Up For Rent Is Situated In Banani,Residential Apartment,2000.0,80000,8000,03,03,01,2.0,4th Floor Available,Un-Furnished,2015.0, Residential, Foreigner,120,24,180,Banani,Dhaka,1213,Bangladesh
https://rents.com.bd/property/excellent-flat-of-2300-sq-ft-is-available-for-rent-in-the-fine-location-of-banani/,Excellent Flat Of 2300 Sq Ft Is Available For Rent In The Fine Location Of Banani,Residential Apartment,2300.0,130000,9500,04,04,01,2.0,9th Floor Available,Fully-Furnised,2010.0, Residential, Foreigner,120,24,180,Banani,Dhaka,1213,Bangladesh
https://rents.com.bd/property/brand-new-2050-sq-ft-apartment-now-vacant-for-rent-in-banani/,Brand New 2050 SQ FT Apartment Now Vacant For Rent In Banani,Residential Apartment,2050.0,110000,12000,03,03,01,2.0,5th Floor,Un-Furnished,2023.0, Residential, Foreigner,120,16,180,Banani,Dhaka,1213,Bangladesh
