url,title,property type,property size,parking,lift,floor,price,service_charge,year built,building registration type,preferred tennant,interior,garage size,front road size,common area,bedrooms,bathrooms,location,country
https://rents.com.bd/property/a-modern-well-planned-flat-of-2000-sq-ft-is-up-for-rent-is-situated-in-banani-2/,A Modern Well-planned Flat Of 2000 Sq Ft Is Up For Rent Is Situated In Banani,Residential Apartment,2000 Sq Ft,01,01,3rd Floor Available,"BDT 80,000/-"," BDT 8,500/-",2010, Residential, Foreigner, Un-Furnished,120 Sq. Ft.,16 Ft.,180 Sq Ft,03 Bedrooms,03 Bathrooms,"Banani, Dhaka 1213",Bangladesh
https://rents.com.bd/property/a-modern-well-planned-flat-of-4500-sq-ft-is-up-for-rent-is-situated-in-gulshan/,A Modern Well-planned Flat Of 4500 Sq Ft Is Up For Rent Is Situated In Gulshan,Residential Apartment,4500 Sq Ft,02,01,6th-7th floor (Duplex),"BDT 220,000/-"," BDT 17,000/-",2012, Residential, Foreigner, Semi-Furnished,240 Sq. Ft.,12 Ft.,250 Sq Ft,04 Bedrooms,04 Bathrooms,"Gulshan, Dhaka 1212",Bangladesh
https://rents.com.bd/property/brand-new-and-tastefully-designed-this-20000-sq-ft-commercial-space-now-vacant-for-rent-in-gulshan-avenue/,Brand New And Tastefully Designed This 20000 SQ FT Commercial Space Now Vacant For Rent In Gulshan Avenue,Commercial space rent in Dhaka | 225+ Spaces for Rent with Best Price,20000 Sq. Ft. (Per floor 4000 Sq. Ft.),05 car parking,03,11th-15th floor available," BDT 29,00,000/- (BDT 145/- per Sq Ft)","BDT 300,000/- (BDT 15/- per Sq Ft)",2023, Commercial,Corporate Office or MNC Office,Un-Furnished,600 Sq Ft., 50 Ft.,1250 Sq Ft,,,"Gulshan, Dhaka 1212",Bangladesh
https://rents.com.bd/property/a-modern-well-planned-flat-of-2250-sq-ft-is-up-for-rent-is-situated-in-gulshan/,A Modern Well-planned Flat Of 2250 Sq Ft Is Up For Rent Is Situated In Gulshan,Residential Apartment,2250 Sq Ft,01,02,7th Floor Available,"BDT 100,000/-"," BDT 15,000/-",2017, Residential, Foreigner, Un-Furnished,120 Sq. Ft.,24 Ft.,180 Sq Ft,03 Bedrooms,03 Bathrooms,"Gulshan, Dhaka 1212",Bangladesh
https://rents.com.bd/property/a-modern-well-planned-flat-of-4300-sq-ft-is-up-for-rent-is-situated-in-gulshan/,A Modern Well-planned Flat Of 4300 Sq Ft Is Up For Rent Is Situated In Gulshan,Residential Apartment,4300 Sq Ft,02,02,5th floor,"BDT 220,000/-"," BDT 25,000/-",2010, Residential, Foreigner, Un-Furnished,240 Sq. Ft.,16 Ft.,250 Sq Ft,04 Bedrooms,04 Bathrooms,"Gulshan, Dhaka 1212",Bangladesh
https://rents.com.bd/property/15000-sq-ft-full-building-is-available-for-rent-in-baridhara-diplomatic-zone/,15000 Sq Ft Full Building Is Available For Rent In Baridhara Diplomatic Zone,Residential Apartment,15000 Sq Ft,03,N/A,G+4th floor,"BDT 11,00,000/-", N/A,1997, Residential, Foreigner, Un-Furnished,360 Sq. Ft.,24 Ft.,1400 Sq Ft,09 Bedrooms,09 Bathrooms,"Baridhara Diplomatic Zone, Dhaka 1212",Bangladesh
https://rents.com.bd/property/tastefully-designed-this-3200-sq-ft-commercial-space-now-vacant-for-rent-in-banani/,Tastefully Designed This 3200 SQ FT Commercial Space Now Vacant For Rent In Banani,Commercial space rent in Dhaka | 225+ Spaces for Rent with Best Price,3200 Sq. Ft.,01 car parking,02,11th floor," BDT 448,000/- (BDT 140/- per Sq Ft)","BDT 32,000/- (BDT 10/- per Sq Ft)",2010, Commercial,Corporate Office or MNC Office,Un-Furnished,120 Sq Ft., 50 Ft.,250 Sq Ft,,,"Banani, Dhaka 1213",Bangladesh
https://rents.com.bd/property/a-modern-well-planned-flat-of-2000-sq-ft-is-up-for-rent-is-situated-in-banani/,A Modern Well-planned Flat Of 2000 Sq Ft Is Up For Rent Is Situated In Banani,Residential Apartment,2000 Sq Ft,01,02,4th Floor Available,"BDT 80,000/-"," BDT 8,000/-",2015, Residential, Foreigner, Un-Furnished,120 Sq. Ft.,24 Ft.,180 Sq Ft,03 Bedrooms,03 Bathrooms,"Banani, Dhaka 1213",Bangladesh
https://rents.com.bd/property/excellent-flat-of-2300-sq-ft-is-available-for-rent-in-the-fine-location-of-banani/,Excellent Flat Of 2300 Sq Ft Is Available For Rent In The Fine Location Of Banani,"Furnished Apartment For Rent In Dhaka, Residential Apartment",2300 Sq Ft,01,02,9th Floor Available,"BDT 130,000/-"," BDT 9,500/-",2010, Residential, Foreigner, Fully-Furnished,120 Sq. Ft.,24 Ft.,180 Sq Ft,04 Bedrooms,04 Bathrooms,"Banani, Dhaka 1213",Bangladesh
https://rents.com.bd/property/brand-new-2050-sq-ft-apartment-now-vacant-for-rent-in-banani/,Brand New 2050 SQ FT Apartment Now Vacant For Rent In Banani,Residential Apartment,2050 Sq Ft,01,02,5th Floor,"BDT 110,000/-"," BDT 12,000/-",2023, Residential, Foreigner, Un-Furnished,120 Sq. Ft.,16 Ft.,180 Sq Ft,03 Bedrooms,03 Bathrooms,"Banani, Dhaka 1213",Bangladesh
https://rents.com.bd/property/brand-new-2300-sq-ft-apartment-now-vacant-for-rent-in-banani-2/,Brand New 2300 SQ FT Apartment Now Vacant For Rent In Banani,Residential Apartment,2300 Sq Ft,01,02,8th Floor,"BDT 135,000/-"," BDT 10,500/-",2022, Residential, Foreigner, Un-Furnished,120 Sq. Ft.,16 Ft.,180 Sq Ft,03 Bedrooms,03 Bathrooms,"Banani, Dhaka 1213",Bangladesh
https://rents.com.bd/property/14500-sq-ft-individual-house-is-available-for-rent-at-gulshan/,14500 Sq. Ft. Individual House Is Available For Rent At Gulshan,Office Space,14500 Sq. Ft.,06 car parking,01,Full Building," BDT 900,000/-",At Actual,2005, Residential,Corporate Office or MNC Office,Un-Furnished,720 Sq Ft., 30 Ft.,1350 Sq Ft,,,"Gulshan, Dhaka 1212",Bangladesh
https://rents.com.bd/property/brand-new-2400-sq-ft-apartment-now-vacant-for-rent-in-banani-2/,Brand New 2400 SQ FT Apartment Now Vacant For Rent In Banani,Residential Apartment,2400 Sq Ft,01,01,3rd & 5th Floor Available,"BDT 110,000/-", Not fixed yet.,2023, Residential, Foreigner, Un-Furnished,120 Sq. Ft.,16 Ft.,220 Sq Ft,03 Bedrooms,03 Bathrooms,"Banani, Dhaka 1213",Bangladesh
