Shipment ID	FBA181B7GSP5
Name	FBA ASDN (05/20/2024 01:34)-SBD1
Plan ID	
Ship To	SBD1
Total SKUs	3
Total Units	122

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
HeatherTwin	SLPR Blue and Gray Chevron Heather Quilt Set - Twin Size with 1 Sham, Elegant Lightweight Quilted Coverlet, Soft Bedding for All Seasons, Modern Farmhouse & Coastal Bedroom Decor	B078J3BZ35	X001NP75LJ	UPC: 819089020836	New	No prep required	"--"	Merchant	10
IntheMist_Throw	Soul & Lane in The Mist 50" x 60" Cotton Quilted Thriw Blanket, Gray and White Patchwork Throw Quilt for Couch, Lightweight Pieced Lap Quilt with Neutral Design for Modern Home	B07H6RJR81	X001VZA1RL	UPC: 819089023424	New	Merchant	null	Merchant	12
NHX-QQUSI-ZDF	Cardboard Numbers for Birthday Parties and Anniversaries, Fillable Candy Gift Box - Number 2	B0B69Y5P4M	X003B8LQKR	UPC: 810079593538	New	Merchant	No prep required	Merchant	100
