NAICS Sector Code,NAICS Codes,Sector,Subsector,NAICS Industry Description,Size Standards (millions of dollars),Size standards (number of employees)
11.0,111110,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Soybean Farming,1,
11.0,111120,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Oilseed (except Soybean) Farming,1,
11.0,111130,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Dry Pea and Bean Farming,1,
11.0,111140,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Wheat Farming,1,
11.0,111150,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Corn Farming,1,
11.0,111160,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Rice Farming,1,
11.0,111191,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Oilseed and Grain Combination Farming,1,
11.0,111199,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,All Other Grain Farming,1,
11.0,111211,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Potato Farming,1,
11.0,111219,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Other Vegetable (except Potato) and Melon Farming  ,1,
11.0,111310,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Orange Groves,1,
11.0,111320,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Citrus (except Orange) Groves,1,
11.0,111331,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Apple Orchards,1,
11.0,111332,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Grape Vineyards,1,
11.0,111333,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Strawberry Farming,1,
11.0,111334,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Berry (except Strawberry) Farming,1,
11.0,111335,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Tree Nut Farming,1,
11.0,111336,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Fruit and Tree Nut Combination Farming,1,
11.0,111339,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Other Noncitrus Fruit Farming,1,
11.0,111411,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Mushroom Production,1,
11.0,111419,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Other Food Crops Grown Under Cover,1,
11.0,111421,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Nursery and Tree Production,1,
11.0,111422,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Floriculture Production,1,
11.0,111910,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Tobacco Farming,1,
11.0,111920,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Cotton Farming,1,
11.0,111930,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Sugarcane Farming,1,
11.0,111940,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Hay Farming,1,
11.0,111991,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Sugar Beet Farming  ,1,
11.0,111992,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,Peanut Farming  ,1,
11.0,111998,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 111 – Crop Production,All Other Miscellaneous Crop Farming,1,
11.0,112111,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 112 – Animal Production and Aquaculture,Beef Cattle Ranching and Farming,1,
11.0,112112,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 112 – Animal Production and Aquaculture,Cattle Feedlots,8,
11.0,112120,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 112 – Animal Production and Aquaculture,Dairy Cattle and Milk Production,1,
11.0,112210,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 112 – Animal Production and Aquaculture,Hog and Pig Farming,1,
11.0,112310,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 112 – Animal Production and Aquaculture,Chicken Egg Production,16.5,
11.0,112320,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 112 – Animal Production and Aquaculture,Broilers and Other Meat Type Chicken Production  ,1,
11.0,112330,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 112 – Animal Production and Aquaculture,Turkey Production,1,
11.0,112340,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 112 – Animal Production and Aquaculture,Poultry Hatcheries,1,
11.0,112390,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 112 – Animal Production and Aquaculture,Other Poultry Production,1,
11.0,112410,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 112 – Animal Production and Aquaculture,Sheep Farming,1,
11.0,112420,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 112 – Animal Production and Aquaculture,Goat Farming,1,
11.0,112511,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 112 – Animal Production and Aquaculture,Finfish Farming and Fish Hatcheries,1,
11.0,112512,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 112 – Animal Production and Aquaculture,Shellfish Farming,1,
11.0,112519,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 112 – Animal Production and Aquaculture,Other  Aquaculture,1,
11.0,112910,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 112 – Animal Production and Aquaculture,Apiculture,1,
11.0,112920,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 112 – Animal Production and Aquaculture,Horses and Other Equine Production,1,
11.0,112930,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 112 – Animal Production and Aquaculture,Fur‑Bearing Animal and Rabbit Production,1,
11.0,112990,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 112 – Animal Production and Aquaculture,All Other Animal Production,1,
11.0,113110,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 113 – Forestry and Logging,Timber Tract Operations,12,
11.0,113210,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 113 – Forestry and Logging,Forest Nurseries and Gathering of Forest Products,12,
